id,object,theta0,theta1,
0.0,0.20753687500000004,0.49000000000000005,0.45500000000000007,
1.0,0.16663246742187499,0.41405,0.46287500000000004,
2.0,0.14329010649366056,0.38740625,0.504382375,
3.0,0.12328703660341889,0.35907451125,0.540059331875,
4.0,0.106076837021142,0.33309328075625,0.573385825359375,
5.0,0.0912690909011671,0.3089689298007813,0.6042795672502969,
6.0,0.07852842515093286,0.2865936909875889,0.6329375885490289,
7.0,0.06756628663450973,0.2658386889072525,0.6595200771753023,
8.0,0.058134402680334055,0.24658676885627764,0.684177484495986,
9.0,0.0500191581236475,0.22872906325385015,0.7070492123107364,
10.0,0.0430367573079892,0.21216460494389425,0.7282645797149647,
11.0,0.03702906144498097,0.19679973742283555,0.7479435395221475,
12.0,0.03186000705591355,0.1825475868609984,0.766197357702381,
13.0,0.027412524379292508,0.16932757078413282,0.7831292423859084,
14.0,0.02358588595183097,0.15706494246614472,0.798834927416095,
15.0,0.020293425313029623,0.14569036830595689,0.8134032136333609,
16.0,0.017460574166116603,0.13513953581144023,0.8269164709602628,
17.0,0.015023173540580758,0.1253527899729033,0.8394511041257375,
18.0,0.012926020707175977,0.1162747959702596,0.8510779846618044,
19.0,0.011121618935640941,0.1078542263067937,0.8618628516152562,
20.0,0.00956910177940061,0.10004347060056257,0.8718666832399857,
21.0,0.008233307524238669,0.09279836639257574,0.8811460417715166,
22.0,0.007083982838871152,0.08607794944972959,0.8897533932331144,
23.0,0.0060950975915431095,0.07984422215069281,0.8977374040816799,
24.0,0.005244255314479925,0.0740619386451847,0.9051432163706761,
25.0,0.004512185964275613,0.06869840557192414,0.912012702985878,
26.0,0.003882309490155892,0.06372329720849701,0.9183847043970607,
27.0,0.003340360325723898,0.05910848400798941,0.9242952482642346,
28.0,0.0028740642996038478,0.05482787355292189,0.929777753140093,
29.0,0.0024728606475911347,0.05085726302723099,0.934863217420419,
30.0,0.002127662830385447,0.04717420237216395,0.9395803946107851,
31.0,0.0018306527398596398,0.04375786735236449,0.9439559559005176,
32.0,0.0015751036330077103,0.04058894181445572,0.9480146409631235,
33.0,0.00135522778334482,0.037649508472406175,0.951779397835819,
34.0,0.001166045399338331,0.03492294760217052,0.9552715126690423,
35.0,0.001003271841108741,0.03239384307282045,0.9585107300795646,
36.0,8.632205810621817E-4,0.03004789518285953,0.9615153647876807,
37.0,7.427197106876337E-4,0.027871839808894315,0.9643024051696848,
38.0,6.390401025484674E-4,0.025853373409522755,0.96688760931112,
39.0,5.498336004669507E-4,0.023981083460408004,0.9692855941038943,
40.0,4.730798380208444E-4,0.022244383927214215,0.9715099178910225,
41.0,4.070404808868682E-4,0.02063345541156328,0.9735731571262723,
42.0,3.502198567027353E-4,0.019139189631595527,0.9754869774821524,
43.0,3.0133108078500125E-4,0.017753137923223958,0.9772621998082912,
44.0,2.592669105113728E-4,0.01646746347090451,0.978908861313139,
45.0,2.2307466827185753E-4,0.015274896997833203,0.9804362723149175,
46.0,1.9193466503862163E-4,0.014168695665040408,0.9818530688826917,
47.0,1.651416358875531E-4,0.013142604946993165,0.9831672616651972,
48.0,1.420887670193892E-4,0.012190823268151326,0.9843862811835058,
49.0,1.2225395252132092E-4,0.011307969200527531,0.9855170198436165,
50.0,1.0518796960949188E-4,0.010489051036786148,0.9865658709065125,
51.0,9.05043045429345E-5,0.009729438566844743,0.9875387646360241,
52.0,7.787039878428604E-5,0.00902483689840163,0.9884412018288792,
53.0,6.70001171485371E-5,0.008371262173369722,0.9892782849165224,
54.0,5.7647267357049584E-5,0.007765019042914944,0.9900547468145535,
55.0,4.960002422634131E-5,0.00720267977374325,0.9907749776829033,
56.0,4.267613220963511E-5,0.006681064867500338,0.9914430497480481,
57.0,3.671877763735114E-5,0.006197225083706511,0.992062740327611,
58.0,3.159303717024547E-5,0.00574842476458256,0.9926375531875318,
59.0,2.7182822029052133E-5,0.0053321263674842145,0.9931707383525594,
60.0,2.3388248792964817E-5,0.00494597611749116,0.9936653104820776,
61.0,2.0123377220255476E-5,0.00458779069902929,0.9941240659151616,
62.0,1.7314263856748463E-5,0.004255544911279645,0.9945495984812387,
63.0,1.4897287349925379E-5,0.003947360217576935,0.994944314165748,
64.0,1.2817707540004929E-5,0.0036614941240565107,0.9953104447137199,
65.0,1.1028425694017458E-5,0.003396330327494221,0.9956500602481897,
66.0,9.488917804441345E-6,0.003150369576635337,0.9959650809747912,
67.0,8.164316793490619E-6,0.0029222211953429515,0.9962572880387099,
68.0,7.024622836682686E-6,0.0027105952196349982,0.9965283335953788,
69.0,6.044023920897428E-6,0.002514295104154872,0.9967797501518604,
70.0,5.200311248828397E-6,0.0023322109568349,0.9970129592317281,
71.0,4.474376249767886E-6,0.002163313263503727,0.9972292794124427,
72.0,3.849777804933823E-6,0.0020066470669542077,0.9974299337806645,
73.0,3.312369885775785E-6,0.0018613265675606907,0.9976160568476546,
74.0,2.8499811719345503E-6,0.0017265301149174668,0.9977887009638671,
75.0,2.4521393927838536E-6,0.0016014955621803937,0.997948842268998,
76.0,2.109834149381993E-6,0.0014855159568450736,0.9980973862111355,
77.0,1.815312845181978E-6,0.0013779355435971222,0.9982351726662148,
78.0,1.5619051037017556E-6,0.001278146056633876,0.9983629806867245,
79.0,1.3438716965194321E-6,0.0011855832804951933,0.9984815329065143,
80.0,1.1562745601037864E-6,0.001099723859956525,0.9985914996266076,
81.0,9.948649575744476E-7,0.0010200823409491908,0.9986935026051225,
82.0,8.559872524745776E-7,9.462084257747386E-4,0.9987881185727266,
83.0,7.364961151968822E-7,8.776844270963645E-4,0.9988758824935063,
84.0,6.336852869385925E-7,8.141229063108101E-4,0.9989572905896837,
85.0,5.452262878195148E-7,7.551644829482339E-4,0.9990328031472854,
86.0,4.6911568101199347E-7,7.004758027146187E-4,0.9991028471186258,
87.0,4.036296985084165E-7,6.497476526877002E-4,0.9991678185363209,
88.0,3.4728520088361703E-7,6.026932130091062E-4,0.9992280847524779,
89.0,2.9880608686248754E-7,5.590464351885371E-4,0.999283986515726,
90.0,2.5709439192611663E-7,5.185605378507874E-4,0.9993358398978283,
91.0,2.2120542139511707E-7,4.810066114193962E-4,0.9993839380807695,
92.0,1.903263547990599E-7,4.461723238487675E-4,0.9994285530144239,
93.0,1.6375783695816152E-7,4.1386072008692964E-4,0.9994699369541752,
94.0,1.408981388497607E-7,3.8388910848019406E-4,0.9995083238871828,
95.0,1.212295295301312E-7,3.560880278245138E-4,0.9995439308553593,
96.0,1.0430655046325835E-7,3.303002892212928E-4,0.9995769591825368,
97.0,8.974592668717047E-8,3.0638008732338656E-4,0.9996075956127641,
98.0,7.721788632803543E-8,2.841921759425867E-4,0.999636013366168,
99.0,6.64386918612384E-8,2.6361110336043796E-4,0.9996623731183497,

